"family_name","species","category"
"ACANTHACEAE","Aphelandra espirito-santensis","EN"
"ACANTHACEAE","Aphelandra gigantea","LC"
"ACANTHACEAE","Aphelandra hirta","LC"
"ACANTHACEAE","Aphelandra longiflora","LC"
"ACANTHACEAE","Aphelandra margaritae","VU"
"ACANTHACEAE","Aphelandra maximiliana","EN"
"ACANTHACEAE","Aphelandra nitida","LC"
"ACANTHACEAE","Aphelandra prismatica","LC"
"ACANTHACEAE","Aphelandra schottiana","LC"
"ACANTHACEAE","Aphelandra squarrosa","LC"
"ACANTHACEAE","Chamaeranthemum beyrichii","LC"
"ACANTHACEAE","Dicliptera squarrosa","LC"
"ACANTHACEAE","Dyschoriste lavandulaceae","EN"
"ACANTHACEAE","Dyschoriste smithii","CR"
"ACANTHACEAE","Herpetacanthus longiflorus","NT"
"ACANTHACEAE","Justicia brasiliana","LC"
"ACANTHACEAE","Justicia bullata","DD"
"ACANTHACEAE","Justicia catharinensis","NT"
"ACANTHACEAE","Justicia clausseniana","EN"
"ACANTHACEAE","Justicia clivalis","NT"
"ACANTHACEAE","Justicia congrua","LC"
"ACANTHACEAE","Justicia cydoniifolia","LC"
"ACANTHACEAE","Justicia genuflexa","VU"
"ACANTHACEAE","Justicia kleinii","LC"
"ACANTHACEAE","Justicia laevilinguis","LC"
"ACANTHACEAE","Justicia lythroides","LC"
"ACANTHACEAE","Justicia paranaensis","EN"
"ACANTHACEAE","Justicia polita","EN"
"ACANTHACEAE","Justicia pseudoamazonica","LC"
"ACANTHACEAE","Justicia ramulosa","VU"
"ACANTHACEAE","Justicia scheidweileri","LC"
"ACANTHACEAE","Justicia symphyantha","LC"
"ACANTHACEAE","Justicia tijucensis","VU"
"ACANTHACEAE","Justicia wasshauseniana","NT"
"ACANTHACEAE","Mendoncia mollis","LC"
"ACANTHACEAE","Odontonema dissitiflorum","EN"
"ACANTHACEAE","Poikilacanthus bahiensis","NT"
"ACANTHACEAE","Pseuderanthemum modestum","LC"
"ACANTHACEAE","Pseuderanthemum riedelianum","LC"
"ACANTHACEAE","Ruellia affinis","LC"
"ACANTHACEAE","Ruellia bulbifera","LC"
"ACANTHACEAE","Ruellia chamaedrys","DD"
"ACANTHACEAE","Ruellia curviflora","LC"
"ACANTHACEAE","Ruellia dissitifolia","LC"
"ACANTHACEAE","Ruellia epallocaulos","LC"
"ACANTHACEAE","Ruellia erythropus","LC"
"ACANTHACEAE","Ruellia multifolia","LC"
"ACANTHACEAE","Ruellia solitaria","LC"
"ACANTHACEAE","Schaueria lophura","NT"
"ACANTHACEAE","Schaueria virginea","DD"
"ACANTHACEAE","Staurogyne anigozanthus","NT"
"ACANTHACEAE","Staurogyne brachiata","EN"
"ACANTHACEAE","Staurogyne carvalhoi","VU"
"ACANTHACEAE","Staurogyne elegans","VU"
"ACANTHACEAE","Staurogyne itatiaiae","EN"
"ACANTHACEAE","Staurogyne minarum","EN"
"ACANTHACEAE","Staurogyne vauthieriana","EN"
"ACANTHACEAE","Staurogyne veronicifolia","EN"
"ACANTHACEAE","Staurogyne warmingiana","EN"
"ACANTHACEAE","Stenandrium diphyllum","LC"
"ACANTHACEAE","Stenandrium goiasense","DD"
"ACANTHACEAE","Stenandrium hatschbachii","EN"
"ACANTHACEAE","Stenandrium irwinii","EN"
"ACANTHACEAE","Stenandrium stenophyllum","EN"
"ACANTHACEAE","Stenostephanus lobeliiformis","DD"
"ACANTHACEAE","Streblacanthus dubiosus","EN"
